"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2019年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","A1101","","A110101","","A110102",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A110101_総人口（男）【人】","注釈","A110102_総人口（女）【人】","注釈"
"2015100000","2015年度","01519","北海道 利尻富士町","","2,787","","1,321","","1,466",""
"2015100000","2015年度","01520","北海道 幌延町","","2,447","","1,279","","1,168",""
"2015100000","2015年度","01543","北海道 美幌町","","20,296","","9,763","","10,533",""
"2015100000","2015年度","01544","北海道 津別町","","5,008","","2,427","","2,581",""
"2015100000","2015年度","01545","北海道 斜里町","","12,231","","6,113","","6,118",""
"2015100000","2015年度","01546","北海道 清里町","","4,221","","2,049","","2,172",""
"2015100000","2015年度","01547","北海道 小清水町","","5,085","","2,414","","2,671",""
"2015100000","2015年度","01549","北海道 訓子府町","","5,100","","2,412","","2,688",""
"2015100000","2015年度","01550","北海道 置戸町","","3,092","","1,424","","1,668",""
"2015100000","2015年度","01552","北海道 佐呂間町","","5,362","","2,498","","2,864",""
"2015100000","2015年度","01555","北海道 遠軽町","","20,873","","10,081","","10,792",""
"2015100000","2015年度","01559","北海道 湧別町","","9,231","","4,378","","4,853",""
"2015100000","2015年度","01560","北海道 滝上町","","2,721","","1,292","","1,429",""
"2015100000","2015年度","01561","北海道 興部町","","3,909","","1,895","","2,014",""
"2015100000","2015年度","01562","北海道 西興部村","","1,116","","542","","574",""
"2015100000","2015年度","01563","北海道 雄武町","","4,525","","2,136","","2,389",""
"2015100000","2015年度","01564","北海道 大空町","","7,360","","3,552","","3,808",""
"2015100000","2015年度","01571","北海道 豊浦町","","4,291","","2,000","","2,291",""
"2015100000","2015年度","01575","北海道 壮瞥町","","2,922","","1,370","","1,552",""
"2015100000","2015年度","01578","北海道 白老町","","17,740","","8,489","","9,251",""
"2015100000","2015年度","01581","北海道 厚真町","","4,838","","2,482","","2,356",""
"2015100000","2015年度","01584","北海道 洞爺湖町","","9,299","","4,280","","5,019",""
"2015100000","2015年度","01585","北海道 安平町","","8,148","","4,049","","4,099",""
"2015100000","2015年度","01586","北海道 むかわ町","","8,596","","4,211","","4,385",""
"2015100000","2015年度","01601","北海道 日高町","","12,378","","6,174","","6,204",""
"2015100000","2015年度","01602","北海道 平取町","","5,315","","2,630","","2,685",""
"2015100000","2015年度","01604","北海道 新冠町","","5,592","","2,717","","2,875",""
"2015100000","2015年度","01607","北海道 浦河町","","13,075","","6,368","","6,707",""
"2015100000","2015年度","01608","北海道 様似町","","4,518","","2,139","","2,379",""
"2015100000","2015年度","01609","北海道 えりも町","","4,906","","2,449","","2,457",""
"2015100000","2015年度","01610","北海道 新ひだか町","","23,231","","11,188","","12,043",""
"2015100000","2015年度","01631","北海道 音更町","","44,807","","21,080","","23,727",""
"2015100000","2015年度","01632","北海道 士幌町","","6,132","","2,939","","3,193",""
"2015100000","2015年度","01633","北海道 上士幌町","","4,765","","2,300","","2,465",""
"2015100000","2015年度","01634","北海道 鹿追町","","5,542","","2,718","","2,824",""
"2015100000","2015年度","01635","北海道 新得町","","6,288","","3,123","","3,165",""
"2015100000","2015年度","01636","北海道 清水町","","9,599","","4,683","","4,916",""
"2015100000","2015年度","01637","北海道 芽室町","","18,484","","8,773","","9,711",""
"2015100000","2015年度","01638","北海道 中札内村","","3,966","","1,932","","2,034",""
"2015100000","2015年度","01639","北海道 更別村","","3,185","","1,567","","1,618",""
"2015100000","2015年度","01641","北海道 大樹町","","5,738","","2,810","","2,928",""
"2015100000","2015年度","01642","北海道 広尾町","","7,030","","3,357","","3,673",""
"2015100000","2015年度","01643","北海道 幕別町","","26,760","","12,627","","14,133",""
"2015100000","2015年度","01644","北海道 池田町","","6,882","","3,253","","3,629",""
"2015100000","2015年度","01645","北海道 豊頃町","","3,182","","1,523","","1,659",""
"2015100000","2015年度","01646","北海道 本別町","","7,358","","3,615","","3,743",""
"2015100000","2015年度","01647","北海道 足寄町","","6,990","","3,380","","3,610",""
"2015100000","2015年度","01648","北海道 陸別町","","2,482","","1,253","","1,229",""
"2015100000","2015年度","01649","北海道 浦幌町","","4,919","","2,361","","2,558",""
"2015100000","2015年度","01661","北海道 釧路町","","19,833","","9,373","","10,460",""
"2015100000","2015年度","01662","北海道 厚岸町","","9,778","","4,628","","5,150",""
"2015100000","2015年度","01663","北海道 浜中町","","6,061","","2,954","","3,107",""
"2015100000","2015年度","01664","北海道 標茶町","","7,742","","3,717","","4,025",""
"2015100000","2015年度","01665","北海道 弟子屈町","","7,758","","3,679","","4,079",""
"2015100000","2015年度","01667","北海道 鶴居村","","2,534","","1,234","","1,300",""
"2015100000","2015年度","01668","北海道 白糠町","","8,068","","3,752","","4,316",""
"2015100000","2015年度","01691","北海道 別海町","","15,273","","7,687","","7,586",""
"2015100000","2015年度","01692","北海道 中標津町","","23,774","","11,628","","12,146",""
"2015100000","2015年度","01693","北海道 標津町","","5,242","","2,565","","2,677",""
"2015100000","2015年度","01694","北海道 羅臼町","","5,415","","2,697","","2,718",""
"2015100000","2015年度","02201","青森県 青森市","","287,648","","133,560","","154,088",""
"2015100000","2015年度","02202","青森県 弘前市","","177,411","","81,367","","96,044",""
"2015100000","2015年度","02203","青森県 八戸市","","231,257","","110,493","","120,764",""
"2015100000","2015年度","02204","青森県 黒石市","","34,284","","15,834","","18,450",""
"2015100000","2015年度","02205","青森県 五所川原市","","55,181","","24,979","","30,202",""
"2015100000","2015年度","02206","青森県 十和田市","","63,429","","30,084","","33,345",""
