,调查年份,地域数字ID,都道府县,市町村,人口数量,人口数量男,人口数量女
3246,2010年度,28-381,兵庫県,稲美町,31026,15175.0,15851.0
3247,2010年度,28-382,兵庫県,播磨町,33183,16241.0,16942.0
3248,2010年度,28-442,兵庫県,市川町,13288,6401.0,6887.0
3249,2010年度,28-443,兵庫県,福崎町,19830,9372.0,10458.0
3250,2010年度,28-446,兵庫県,神河町,12289,5736.0,6553.0
3251,2010年度,28-464,兵庫県,太子町,33438,16217.0,17221.0
3252,2010年度,28-481,兵庫県,上郡町,16636,7975.0,8661.0
3253,2010年度,28-501,兵庫県,佐用町,19265,9106.0,10159.0
3254,2010年度,28-585,兵庫県,香美町,19696,9364.0,10332.0
3255,2010年度,28-586,兵庫県,新温泉町,16004,7529.0,8475.0
3256,2010年度,29-201,奈良県,奈良市,366591,171410.0,195181.0
3257,2010年度,29-202,奈良県,大和高田市,68451,32237.0,36214.0
3258,2010年度,29-203,奈良県,大和郡山市,89023,42414.0,46609.0
3259,2010年度,29-204,奈良県,天理市,69178,33781.0,35397.0
3260,2010年度,29-205,奈良県,橿原市,125605,59879.0,65726.0
3261,2010年度,29-206,奈良県,桜井市,60146,28409.0,31737.0
3262,2010年度,29-207,奈良県,五條市,34460,16274.0,18186.0
3263,2010年度,29-208,奈良県,御所市,30287,14110.0,16177.0
3264,2010年度,29-209,奈良県,生駒市,118113,56311.0,61802.0
3265,2010年度,29-210,奈良県,香芝市,75227,36117.0,39110.0
3266,2010年度,29-211,奈良県,葛城市,35859,17097.0,18762.0
3267,2010年度,29-212,奈良県,宇陀市,34227,16182.0,18045.0
3268,2010年度,29-322,奈良県,山添村,4107,1984.0,2123.0
3269,2010年度,29-342,奈良県,平群町,19727,9340.0,10387.0
3270,2010年度,29-343,奈良県,三郷町,23440,10998.0,12442.0
3271,2010年度,29-344,奈良県,斑鳩町,27734,13024.0,14710.0
3272,2010年度,29-345,奈良県,安堵町,7929,3765.0,4164.0
3273,2010年度,29-361,奈良県,川西町,8653,4164.0,4489.0
3274,2010年度,29-362,奈良県,三宅町,7440,3539.0,3901.0
3275,2010年度,29-363,奈良県,田原本町,32121,15350.0,16771.0
3276,2010年度,29-385,奈良県,曽爾村,1895,882.0,1013.0
3277,2010年度,29-386,奈良県,御杖村,2102,980.0,1122.0
3278,2010年度,29-401,奈良県,高取町,7657,3632.0,4025.0
3279,2010年度,29-402,奈良県,明日香村,5856,2786.0,3070.0
3280,2010年度,29-424,奈良県,上牧町,23728,11172.0,12556.0
3281,2010年度,29-425,奈良県,王寺町,22182,10430.0,11752.0
3282,2010年度,29-426,奈良県,広陵町,33070,15714.0,17356.0
3283,2010年度,29-427,奈良県,河合町,18531,8719.0,9812.0
3284,2010年度,29-441,奈良県,吉野町,8642,4003.0,4639.0
3285,2010年度,29-442,奈良県,大淀町,19176,9074.0,10102.0
3286,2010年度,29-443,奈良県,下市町,7020,3339.0,3681.0
3287,2010年度,29-444,奈良県,黒滝村,840,390.0,450.0
3288,2010年度,29-446,奈良県,天川村,1572,742.0,830.0
3289,2010年度,29-447,奈良県,野迫川村,524,258.0,266.0
3290,2010年度,29-449,奈良県,十津川村,4107,2161.0,1946.0
3291,2010年度,29-450,奈良県,下北山村,1039,505.0,534.0
3292,2010年度,29-451,奈良県,上北山村,683,342.0,341.0
3293,2010年度,29-452,奈良県,川上村,1643,794.0,849.0
3294,2010年度,29-453,奈良県,東吉野村,2143,1013.0,1130.0
3295,2010年度,30-201,和歌山県,和歌山市,370364,174104.0,196260.0
3296,2010年度,30-202,和歌山県,海南市,54783,25518.0,29265.0
3297,2010年度,30-203,和歌山県,橋本市,66361,31326.0,35035.0
3298,2010年度,30-204,和歌山県,有田市,30592,14436.0,16156.0
3299,2010年度,30-205,和歌山県,御坊市,26111,12620.0,13491.0
3300,2010年度,30-206,和歌山県,田辺市,79119,37243.0,41876.0
3301,2010年度,30-207,和歌山県,新宮市,31498,14551.0,16947.0
3302,2010年度,30-208,和歌山県,紀の川市,65840,31139.0,34701.0
3303,2010年度,30-209,和歌山県,岩出市,52882,25530.0,27352.0
3304,2010年度,30-304,和歌山県,紀美野町,10391,4774.0,5617.0
3305,2010年度,30-341,和歌山県,かつらぎ町,18230,8502.0,9728.0
3306,2010年度,30-343,和歌山県,九度山町,4963,2268.0,2695.0
3307,2010年度,30-344,和歌山県,高野町,3975,2043.0,1932.0
3308,2010年度,30-361,和歌山県,湯浅町,13210,6192.0,7018.0
3309,2010年度,30-362,和歌山県,広川町,7714,3585.0,4129.0
3310,2010年度,30-366,和歌山県,有田川町,27162,12806.0,14356.0
3311,2010年度,30-381,和歌山県,美浜町,8077,3724.0,4353.0
3312,2010年度,30-382,和歌山県,日高町,7432,3504.0,3928.0
3313,2010年度,30-383,和歌山県,由良町,6508,3147.0,3361.0
3314,2010年度,30-390,和歌山県,印南町,8606,4044.0,4562.0
3315,2010年度,30-391,和歌山県,みなべ町,13470,6405.0,7065.0
3316,2010年度,30-392,和歌山県,日高川町,10509,4951.0,5558.0
3317,2010年度,30-401,和歌山県,白浜町,22696,10379.0,12317.0
3318,2010年度,30-404,和歌山県,上富田町,14807,7017.0,7790.0
3319,2010年度,30-406,和歌山県,すさみ町,4730,2241.0,2489.0
3320,2010年度,30-421,和歌山県,那智勝浦町,17080,7788.0,9292.0
3321,2010年度,30-422,和歌山県,太地町,3250,1459.0,1791.0
3322,2010年度,30-424,和歌山県,古座川町,3103,1377.0,1726.0
3323,2010年度,30-427,和歌山県,北山村,486,224.0,262.0
3324,2010年度,30-428,和歌山県,串本町,18249,8500.0,9749.0
3325,2010年度,31-201,鳥取県,鳥取市,197449,95959.0,101490.0
3326,2010年度,31-202,鳥取県,米子市,148271,70133.0,78138.0
3327,2010年度,31-203,鳥取県,倉吉市,50720,23732.0,26988.0
3328,2010年度,31-204,鳥取県,境港市,35259,16906.0,18353.0
3329,2010年度,31-302,鳥取県,岩美町,12362,5824.0,6538.0
3330,2010年度,31-325,鳥取県,若桜町,3873,1828.0,2045.0
3331,2010年度,31-328,鳥取県,智頭町,7718,3626.0,4092.0
3332,2010年度,31-329,鳥取県,八頭町,18427,8816.0,9611.0
3333,2010年度,31-364,鳥取県,三朝町,7015,3310.0,3705.0
3334,2010年度,31-370,鳥取県,湯梨浜町,17029,8110.0,8919.0
3335,2010年度,31-371,鳥取県,琴浦町,18531,8683.0,9848.0
3336,2010年度,31-372,鳥取県,北栄町,15442,7309.0,8133.0
3337,2010年度,31-384,鳥取県,日吉津村,3339,1554.0,1785.0
3338,2010年度,31-386,鳥取県,大山町,17491,8265.0,9226.0
3339,2010年度,31-389,鳥取県,南部町,11536,5407.0,6129.0
3340,2010年度,31-390,鳥取県,伯耆町,11621,5457.0,6164.0
