"統計名：","都道府県データ 社会生活統計指標"
"表番号：","0000010209"
"表題：","Ｉ　健康・医療"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","#I0520101","","#I0520102",""
"調査年 コード","調査年","地域 コード","地域","/Ｉ　健康・医療","#I0520101_平均余命［０歳・男］【年】","注釈","#I0520102_平均余命［０歳・女］【年】","注釈"
"2010100000","2010年度","40000","福岡県","","79.30","","86.48",""
"2010100000","2010年度","41000","佐賀県","","79.28","","86.58",""
"2010100000","2010年度","42000","長崎県","","78.88","","86.30",""
"2010100000","2010年度","43000","熊本県","","80.29","","86.98",""
"2010100000","2010年度","44000","大分県","","80.06","","86.91",""
"2010100000","2010年度","45000","宮崎県","","79.70","","86.61",""
"2010100000","2010年度","46000","鹿児島県","","79.21","","86.28",""
"2010100000","2010年度","47000","沖縄県","","79.40","","87.02",""
"2015100000","2015年度","01000","北海道","","80.28","","86.77",""
"2015100000","2015年度","02000","青森県","","78.67","","85.93",""
"2015100000","2015年度","03000","岩手県","","79.86","","86.44",""
"2015100000","2015年度","04000","宮城県","","80.99","","87.16",""
"2015100000","2015年度","05000","秋田県","","79.51","","86.38",""
"2015100000","2015年度","06000","山形県","","80.52","","86.96",""
"2015100000","2015年度","07000","福島県","","80.12","","86.40",""
"2015100000","2015年度","08000","茨城県","","80.28","","86.33",""
"2015100000","2015年度","09000","栃木県","","80.10","","86.24",""
"2015100000","2015年度","10000","群馬県","","80.61","","86.84",""
"2015100000","2015年度","11000","埼玉県","","80.82","","86.66",""
"2015100000","2015年度","12000","千葉県","","80.96","","86.91",""
"2015100000","2015年度","13000","東京都","","81.07","","87.26",""
"2015100000","2015年度","14000","神奈川県","","81.32","","87.24",""
"2015100000","2015年度","15000","新潟県","","80.69","","87.32",""
"2015100000","2015年度","16000","富山県","","80.61","","87.42",""
"2015100000","2015年度","17000","石川県","","81.04","","87.28",""
"2015100000","2015年度","18000","福井県","","81.27","","87.54",""
"2015100000","2015年度","19000","山梨県","","80.85","","87.22",""
"2015100000","2015年度","20000","長野県","","81.75","","87.67",""
"2015100000","2015年度","21000","岐阜県","","81.00","","86.82",""
"2015100000","2015年度","22000","静岡県","","80.95","","87.10",""
"2015100000","2015年度","23000","愛知県","","81.10","","86.86",""
"2015100000","2015年度","24000","三重県","","80.86","","86.99",""
"2015100000","2015年度","25000","滋賀県","","81.78","","87.57",""
"2015100000","2015年度","26000","京都府","","81.40","","87.35",""
"2015100000","2015年度","27000","大阪府","","80.23","","86.73",""
"2015100000","2015年度","28000","兵庫県","","80.92","","87.07",""
"2015100000","2015年度","29000","奈良県","","81.36","","87.25",""
"2015100000","2015年度","30000","和歌山県","","79.94","","86.47",""
"2015100000","2015年度","31000","鳥取県","","80.17","","87.27",""
"2015100000","2015年度","32000","島根県","","80.79","","87.64",""
"2015100000","2015年度","33000","岡山県","","81.03","","87.67",""
"2015100000","2015年度","34000","広島県","","81.08","","87.33",""
"2015100000","2015年度","35000","山口県","","80.51","","86.88",""
"2015100000","2015年度","36000","徳島県","","80.32","","86.66",""
"2015100000","2015年度","37000","香川県","","80.85","","87.21",""
"2015100000","2015年度","38000","愛媛県","","80.16","","86.82",""
"2015100000","2015年度","39000","高知県","","80.26","","87.01",""
"2015100000","2015年度","40000","福岡県","","80.66","","87.14",""
"2015100000","2015年度","41000","佐賀県","","80.65","","87.12",""
"2015100000","2015年度","42000","長崎県","","80.38","","86.97",""
"2015100000","2015年度","43000","熊本県","","81.22","","87.49",""
"2015100000","2015年度","44000","大分県","","81.08","","87.31",""
"2015100000","2015年度","45000","宮崎県","","80.34","","87.12",""
"2015100000","2015年度","46000","鹿児島県","","80.02","","86.78",""
